name	acts	words	chars	
ERSTER ENGEL	23	170	869	
ZWEITER ENGEL	19	136	962	
DRITTER ENGEL	40	397	1997	
ZWEI ÄLTERE ENGEL	2	35	181	
GOTT VATER	55	935	5254	
CHERUBIM	29	259	1509	
EIN ENGEL	9	21	135	
ALLE ENGEL	4	51	237	
BOTE	1	227	1391	
DIE VORAUSEILENDEN ENGEL	1	4	19	
MARIA	62	1135	6249	
CHRISTUS	20	344	1876	
MARIA MAGDALENA	2	12	55	
CHOR DER MÄRTYRER	0	0	0	
CHOR DER ÄLTEREN ENGEL	0	0	0	
CHOR DER APOSTEL	1	4	24	
DIE JÜNGEREN ENGEL	2	10	41	
DON GIOFFRE	7	83	544	
DER PAPST	19	443	2850	
DONNA SANCIA	2	19	116	
LUCREZIA	7	52	276	
DON GIOVANNI	3	35	196	
FRANCESCO BORGIA	3	24	130	
CESARE	1	3	9	
ERSTER EDELMANN	4	35	203	
ZWEITER EDELMANN	4	17	97	
DRITTER EDELMANN	7	141	831	
BURCARD	1	23	132	
CHOR	1	52	525	
EINES DER MÄDCHEN	1	6	198	
DIE KURTISANE	1	23	128	
RODRIGO BORGIA	1	22	128	
DIE MÄDCHEN	1	6	29	
TEUFEL	58	4876	27118	
LESENDER ENGEL	4	368	2119	
PRIESTER	10	110	2503	
