name	acts	words	chars	
CHOR	14	287	1519	
FEE APRIKOSA	6	125	704	
ERSTER ZAUBERER	12	129	732	
ZWEITER ZAUBERER	15	226	1223	
FEE AMARILLIS	5	76	393	
FEUERGEIST	10	260	1490	
PAMPHILIUS	30	533	3034	
ALLE WEIBER	1	6	42	
LONGIMANUS	84	3043	17092	
DIE DRUDEN	0	0	0	
ERSTE DRUDE	4	73	414	
ZEPHISES	11	221	1288	
WINTER	1	29	141	
HERBST	1	55	290	
SOMMER	1	29	151	
FRÜHLING	1	19	85	
FLORIAN	139	2960	15882	
MARIANDL	62	972	5037	
EDUARD	123	2581	14730	
HOFFNUNG	8	517	2929	
KOLIBRI	30	544	2999	
EIN NACHBAR	3	126	665	
ALLE NACHBARN	0	0	0	
KOLIPHONIUS	6	200	1186	
MÄDCHEN	1	3	19	
DER KORPORAL	1	6	34	
EIN KELLNER	1	3	18	
CHOR VON EINWOHNERN	1	45	244	
HEROLD	3	109	599	
ALADIN	19	339	2025	
OSILLIS	5	29	177	
AMAZILLI	1	3	24	
VERITATIUS	10	349	1951	
MODESTINA	3	36	206	
AMINE	17	404	2215	
