name	acts	words	chars	
FRAU ERMISCHER	71	1241	6753	
MAARI	16	125	698	
ERMISCHER	176	2355	13945	
ULBRICH	81	1319	7355	
SEIFERT	118	1555	8923	
WEIGEL	144	2544	14840	
NEUBERT	95	1683	9858	
FRAU NEUBERT	24	682	3843	
NEUMERKEL	70	1171	6724	
FRÄNZEL	1	6	33	
FRAU SCHÖNHERR	52	852	4608	
HEINERLE	5	88	446	
GERTRUD	9	67	382	
LIESEL	0	0	0	
MEISTER SCHÖNHERR	70	1119	6392	
FRAU ULBRICH	17	224	1243	
FRAU SEIFERT	134	2022	10952	
DIE WALDARBEITER	0	0	0	
DIE LEUTE	3	10	57	
EIN BAUER	1	16	114	
DIE SCHNITZLER	1	17	87	
VIELE STIMMEN	2	25	124	
DIE BAUERN	0	0	0	
