name	acts	words	chars	
BIÖRN	11	206	1177	
SOLDAT	8	40	229	
BERDOA	327	8049	43099	
VIELE STIMMEN	2	13	69	
USBEK	55	600	3412	
EIN FINNE	11	126	669	
IRNAK	63	977	5176	
DIE FINNEN	10	53	287	
ROSSAN	42	523	2670	
HOLM	41	610	3239	
ERIK	52	781	4183	
GOTHLAND	508	16325	86529	
ROLF	82	1539	8406	
CÄCILIA	49	1664	8593	
ARBOGA	63	766	3923	
KANZLER	55	812	4369	
KÖNIG	86	1527	8297	
SKIOLD	55	725	3835	
DIE ÜBRIGEN SCHWEDISCHEN GROßEN	1	3	15	
DER HAUPTMANN	8	146	752	
GUSTAV	91	1416	7277	
VOLK AUF DER STRASSE	1	9	52	
DER ALTE HERZOG VON GOTHLAND	73	1978	10305	
VERWUNDETE FINNEN	1	5	26	
FLÜCHTIGE	1	4	20	
EIN FINNISCHER HAUPTMANN	1	27	157	
EINZELNE STIMMEN	1	6	21	
STIMMEN VON DEM MEERE HER	8	95	507	
EINER DER SCHIFFBRÜCHIGEN	1	8	42	
HEROLD	1	105	523	
DIE ANWESENDEN KRIEGER	1	4	26	
CHOR	1	6	30	
EINE DIRNE	1	9	46	
ANDRE	1	14	65	
MEHRERE STIMMEN	1	23	148	
EINE STIMME	2	24	137	
EINE ANDRE STIMME	1	13	75	
DIE FINNISCHEN HAUPTLEUTE	14	81	442	
UNTEROFFIZIER	2	34	209	
TOCKE	15	205	1032	
EIN SCHWEDISCHER HAUPTMANN	3	21	110	
EIN SCHWEDISCHER SOLDAT	2	33	204	
EINER DER FINNISCHEN HAUPTLEUTE	1	40	205	
ERSTER HAUPTMANN	3	52	327	
ZWEITER HAUPTMANN	3	278	1563	
DIE FLÜCHTIGEN	2	24	126	
