name	acts	words	chars	
DER RANGÄLTESTE HAUPTMANN	3	95	590	
VON MARSCHALL	47	973	5786	
VON GROBITZSCH	55	1290	7371	
VERSCHIEDENE	1	1	6	
MORITZ DIESTERBEG	74	1100	6203	
DIE FÄHNRICHE UND FAHNENJUNKER	2	19	128	
PETER VON RAMBERG	97	1249	7169	
FRITZ VON DER LEYEN	16	258	1423	
EINE ORDONNANZ	15	31	179	
TIEDEMANN	3	16	87	
PAUL VON RAMBERG	58	757	4151	
GLAHN	18	152	887	
BENNO VON KLEWITZ	30	301	1799	
MEITZEN	9	65	423	
HANS RUDORFF	413	8614	47581	
HAROLD	126	2489	13884	
DIE ORDONNANZ	2	2	14	
KOMMANDOSTIMME	1	2	14	
HEINRICH	68	359	2050	
JOSEPH WACHOWIOCK	12	83	448	
HORNIST	2	0	0	
SCHMITZ	48	1302	7213	
TRAUTE	112	2501	13316	
DIE MASKEN	4	99	542	
