name	acts	words	chars	
ERSTER BÜRGER	11	76	417	
ZWEITER BÜRGER	9	162	929	
DAS VOLK	3	17	93	
DER SCHIFFER	14	482	2604	
EINER AUS DEM VOLK	5	43	222	
EIN ZWEITER AUS DEM VOLK	1	1	3	
EIN DRITTER AUS DEM VOLK	1	7	30	
EIN VIERTER AUS DEM VOLK	3	11	67	
DER FÜNFTE AUS DEM VOLK	1	14	74	
KIKIN	25	229	1247	
DOLGORUKI	66	1343	7253	
GLEBOF	102	3186	17215	
DIENER	4	55	353	
LAPUCHIN	18	535	2999	
ERZBISCHOF	19	390	2154	
EIN BOJAR	9	95	525	
EIN ZWEITER BOJAR	3	26	154	
EIN DRITTER BOJAR	2	8	44	
EIN VIERTER BOJAR	1	4	16	
DIE BOJAREN	19	86	481	
EUDOXIA	45	840	4559	
MARKOF	5	108	616	
EUPHROSYNE	30	461	2383	
ALEXIS	81	2382	12712	
MENZIKOF	40	963	5206	
KATHARINA	19	757	4084	
PAGE	2	11	52	
ERSTER MATROSE	5	28	149	
ZWEITER MATROSE	3	16	95	
STEUERMANN	6	37	195	
PETER	103	2765	14892	
GORDON	33	548	3005	
ADJUTANT	4	86	431	
DIE BAUERN	1	1	6	
ERSTER BAUER	8	85	429	
ZWEITER BAUER	5	48	250	
DRITTER BAUER	4	42	233	
VIERTER BAUER	4	47	226	
FÜNFTER BAUER	3	52	276	
SECHSTER BAUER	3	36	179	
SCHEPELEW	6	127	692	
GESANG	2	70	370	
