name	acts	words	chars	
ALFRED	72	1075	6015	
ADELE	101	1762	9485	
ROSALINDE	179	2814	15488	
EISENSTEIN	244	3335	18823	
BLIND	25	300	1956	
FALKE	87	1304	7539	
FRANK	111	1330	7548	
CHOR DER GÄSTE	1	63	372	
MELANIE	9	74	417	
FAUSTINE	8	70	409	
FELICITAS	3	20	120	
MINNI	2	7	34	
HERMINE	1	4	19	
NATALIE	1	7	49	
CHOR	3	76	408	
ALI BEY	3	25	140	
SIDI	1	15	96	
RAMUSIN	3	29	150	
MURRAY	4	38	213	
CARIKONI	4	36	183	
IDA	36	340	1976	
ORLOFSKY	55	814	4335	
IVAN	2	7	46	
DIE DAMEN	5	17	75	
DIE HERREN	2	9	53	
FROSCH	42	633	3545	
