name	acts	words	chars	
WALLENSTEIN	261	9845	53386	
SENI	11	178	1028	
TERZKY	74	1016	5602	
ILLO	66	1280	7033	
WRANGEL	26	771	4273	
KAMMERDIENER_1.7	2	16	89	
KAMMERDIENER_5	4	20	113	
OCTAVIO	78	1529	8315	
MAX	43	2307	12516	
ADJUTANT	2	5	31	
ISOLANI	20	374	1935	
BUTTLER	162	2706	14659	
BEDIENTER	1	15	90	
THEKLA	90	1516	8037	
HERZOGIN	44	754	4138	
PAGE	2	11	70	
GRÄFIN TERZKY	122	3171	16826	
GEFREITER	14	441	2416	
ZWEITER KÜRASSIER	1	4	23	
DRITTER KÜRASSIER	3	17	81	
NEUMANN	1	28	152	
GORDON	80	1958	10579	
BÜRGERMEISTER	7	85	445	
NEUBRUNN	28	223	1181	
HAUPTMANN	13	449	2602	
STALLMEISTER	6	33	158	
GERALDIN	1	4	21	
MACDONALD	27	252	1279	
DEVEROUX	40	546	2814	
KAMMERFRAU	1	3	23	
ERSTER BEDIENTER	1	6	35	
ZWEITER BEDIENTER	1	19	115	
