name	acts	words	chars	
FRITZE BELKOW	16	173	943	
PETER STUMMEL	20	252	1346	
HANS STURZ	57	776	4265	
PERWENITZ	186	3126	16833	
RIENEKE	12	146	749	
HEINSE LANG	5	55	304	
MARTIN	20	308	1645	
DANNEWITZ	45	317	1695	
SECHELWEG	27	272	1454	
STROBAND	112	1221	6388	
KÖHNE FINKE	130	3435	17665	
KÄTHE	32	280	1457	
GRETHE	12	98	486	
KNECHT (1.11)	1	5	31	
RIEKE	56	585	2790	
KONRAD VON QUITZOW	166	2634	14062	
WICHART VON ROCHOW	5	33	197	
MÄNNER UND FRAUEN	1	4	19	
GERTRUD	49	944	4816	
AGNES	34	437	2279	
PROPST ORTWIN	8	180	956	
DIE STRAUSSBERGER	7	28	175	
BRIESEN	6	49	263	
SCHWERIN	11	60	330	
BARBARA	65	942	5031	
KASIMIR	32	286	1505	
OTTO	45	380	2022	
KRODENOW	10	103	571	
DIETRICH	257	4298	23232	
STIMME	1	3	14	
SCHWALBE	52	916	4780	
BLANKENFELD	1	11	60	
DIE MUSIKANTEN	4	23	104	
GRECHEWITZ	9	141	812	
HEROLD	2	33	187	
DIE EDELLEUTE	2	7	40	
DIE BÜRGER	2	6	32	
ILEBURG	34	413	2265	
PUTLITZ	1	1	10	
LIPPOLD VON BREDOW	3	33	178	
ALLE BÜRGER	2	4	21	
SCHWABE	1	6	23	
FRIEDRICH	42	1003	5521	
STIMMEN	3	10	73	
GESANG	1	32	179	
DAS VOLK	3	15	70	
DIE GANZE VERSAMMLUNG	0	0	0	
BRANDENBURGER RATMANNE	1	25	137	
FRANKFURTER RATMANNE	1	4	22	
SPANDAUER RATMANNE	1	5	28	
RATMANNEN	1	6	27	
RATHENOWER RATMANNE	1	5	27	
RUPPINER RATMANNE	1	3	16	
HAVELBERGER RATMANNE	1	2	14	
DIE BERLINER	1	8	27	
EIN KNECHT	9	105	548	
DIE KNECHTE	1	6	30	
THOMAS WINS	39	1114	5896	
