name	acts	words	chars	
ANTILOCHUS	22	279	1611	
ODYSSEUS	40	1722	9521	
DIOMEDES	36	905	4973	
DER HAUPTMANN	26	923	5100	
EIN MYRMIDONIER	20	420	2301	
DIE GRIECHEN	0	0	0	
EIN ÄTOLIER	12	167	874	
EIN DOLOPER	16	297	1607	
STIMMEN	2	16	84	
ACHILLES	115	1984	10568	
EIN GRIECHENFÜRST	3	24	146	
DER ERSTE GRIECHE	15	86	480	
DER ZWEITE GRIECHE	3	14	80	
AUTOMEDON	2	8	40	
DIE AMAZONEN	0	0	0	
PENTHESILEA	222	7586	41009	
PROTHOE	184	3159	16712	
ASTERIA	6	264	1519	
MEROE	48	935	4984	
EINE ANDERE FÜRSTIN	1	5	27	
DIE OBERPRIESTERIN	90	1702	9029	
EIN JUNGES MÄDCHEN	13	290	1634	
EIN ANDERES MÄDCHEN	3	96	530	
EIN DRITTES MÄDCHEN	4	108	576	
EIN VIERTES MÄDCHEN	2	55	278	
DIE MÄDCHEN	3	14	61	
DIE ERSTE AMAZONE	28	427	2329	
DIE ZWEITE AMAZONE	30	211	1091	
DIE DRITTE AMAZONE	19	152	810	
DIE HAUPTMÄNNIN	9	216	1203	
EINE PRIESTERIN	40	459	2438	
DIE ZWEITE PRIESTERIN	5	28	130	
DAS MÄDCHEN	1	72	407	
DIE OBERSTE	5	350	1951	
GRIECHEN	1	15	80	
EINE FÜRSTIN	1	1	5	
MEHRERE AMAZONEN	1	2	16	
DIE FÜNFTE AMAZONE	2	6	28	
DIE SECHSTE AMAZONE	1	2	8	
DIE SIEBENTE AMAZONE	1	1	8	
EINE AMAZONENFÜRSTIN	3	15	99	
DIE VIERTE AMAZONE	3	18	85	
DIE ACHTE AMAZONE	1	4	21	
EINE JUNGFRAU	3	29	142	
EINE ANDERE JUNGFRAU	1	2	16	
CHOR DER JUNGFRAUN	0	0	0	
DIE FRAUEN	1	4	15	
DER HEROLD	6	167	933	
ERSTE OBERSTE	4	16	82	
EINE DRITTE PRIESTERIN	1	5	25	
DIE PRIESTERINNEN	0	0	0	
MEHRERE FRAUEN	1	41	224	
EINE TRÄGERIN	1	3	15	
