name	acts	words	chars	
ASTRAGALUS	118	2882	15772	
LINARIUS	7	314	1747	
MALCHEN	59	1401	7739	
LISCHEN	72	1702	9236	
AUGUST	44	924	5103	
SOPHIE	88	1301	7085	
KUTSCHER	6	126	662	
HABAKUK	78	1648	8897	
SABINE	6	141	667	
RAPPELKOPF	279	7269	39413	
SALCHEN	21	303	1524	
CHRISTIAN	7	64	339	
MARTHE	25	436	2259	
DAS KIND	4	8	32	
DIE KATZE	2	2	10	
DER HUND	8	18	73	
HÄNSCHEN	1	3	15	
ANDRESEL	14	127	662	
CHRISTOPH	2	16	83	
DIE GROSSMUTTER	1	1	5	
DER BUB UNTERM BETT	1	3	16	
FRANZEL	2	23	128	
VICTORINENS GEIST	1	35	178	
WALLBURGAS GEIST	1	49	245	
EMERENTIAS GEIST	1	35	185	
ALPANOR	3	109	614	
EIN ALPENGEIST	1	6	34	
SILBERKERN	11	246	1403	
ECHO	1	9	50	
ALPENGEISTER	1	10	56	
DIENSTLEUTE	1	11	53	
