name	acts	words	chars	
ZENOBIUS	10	132	757	
BUSTORIUS	25	335	1853	
BORAX	2	22	111	
ANTIMONIA	7	116	698	
LAKRIMOSA	18	1186	6788	
AJAXERLE	40	1338	7273	
EIN FEENDIENER	4	8	54	
FIAKER	1	4	14	
EIN KLEINER GENIUS	2	6	37	
STIMME VON UNTEN	1	9	51	
LORENZ	47	1049	5638	
HABAKUK	5	39	190	
LOTTCHEN	67	1398	7388	
WURZEL	122	4165	22347	
KARL	45	764	4168	
SATYR	1	1	6	
SCHLOSSER	2	59	322	
TISCHLER	1	4	27	
ILLI	1	151	881	
ZUFRIEDENHEIT	76	1529	8260	
SCHMEICHELFELD	2	56	312	
MUSENSOHN	7	163	876	
AFTERLING	3	135	686	
CHOR	9	154	740	
ALLE BEDIENTEN	1	3	13	
JUGEND	20	504	2715	
DAS ALTER	14	550	3059	
NEID	9	225	1264	
HASS	26	929	5250	
TOPHAN	10	255	1386	
NIGOWITZ	8	184	1036	
PAPAGEI	1	8	40	
AMOR	3	42	227	
LÄRMEN	1	7	33	
HYMEN	1	2	9	
