name	acts	words	chars	
ILLO	69	1898	10284	
ISOLANI	34	771	4190	
BUTTLER	29	1084	6038	
OCTAVIO	99	3020	16480	
QUESTENBERG	59	1679	9328	
MAX	107	3962	21230	
ZWEITER BEDIENTER	9	112	625	
ERSTER BEDIENTER	8	52	294	
SENI	4	89	438	
DRITTER BEDIENTER	4	62	303	
WALLENSTEIN	71	2346	13029	
HERZOGIN	17	534	2944	
GRÄFIN	51	1246	6718	
THEKLA	42	1174	6185	
TERZKY	58	902	4913	
KAMMERDIENER	4	19	97	
GÖTZ	8	60	323	
TIEFENBACH	9	93	494	
COLALTO	1	8	42	
NEUMANN	9	205	1117	
KELLERMEISTER	15	517	2788	
VIERTER BEDIENTER	1	23	114	
KORNETT	13	148	859	
