name	acts	words	chars	
DANILOW	27	635	3484	
MEHRERE DEPUTIERTE	1	7	27	
EINER DER DEPUTIERTEN	2	104	534	
EIN ANDRER DER DEPUTIERTEN	1	4	13	
EIN DRITTER DEPUTIERTER	1	27	162	
AARON	14	867	4922	
DER BOTE	1	28	178	
PETER	173	4704	25743	
THEOPHANES	6	286	1513	
JAGUSCHINSKY	15	345	1916	
MENZIKOF	35	695	3762	
SCHAPHIROW	16	212	1190	
OSTERMANN	7	183	1070	
EINIGE	1	3	19	
ANDRE 1.3	1	5	38	
ANDRE 4.4	1	4	26	
TOLSTOI	62	1674	9382	
THERESE	26	245	1320	
ANNA	17	209	1130	
KATHARINA	93	2605	14210	
MONS	17	439	2349	
EUPHROSYNE	29	497	2651	
COSTA	43	1093	6148	
SCHEPELEW	23	323	1749	
ALEXIS	87	2950	16135	
ERSTER TÜRSTEHER	6	47	275	
ZWEITER TÜRSTEHER	4	152	886	
DENTSCHIK	1	57	284	
DER SEKRETÄR	2	8	50	
DER NACHBAR	1	8	37	
DIE GEISTLICHEN	2	2	10	
EIN GENERAL	1	10	41	
DIE GENERALE	0	0	0	
DIE SENATOREN	1	1	7	
ALLGEMEINER RUF	1	1	4	
ARZT	21	413	2366	
SEKRETÄR	1	3	23	
GORDON	13	147	811	
