name	acts	words	chars	
DIENERINNEN	2	69	367	
NANCY	94	1020	5260	
LADY	129	1406	7439	
ERSTER DIENER	1	4	27	
ZWEITER DIENER	1	4	24	
DRITTER DIENER	1	5	30	
SIR TRISTAN	57	383	2115	
MÄGDE	12	368	1799	
LANDLEUTE	13	261	1381	
PÄCHTER	8	102	475	
PLUMKETT	92	1244	6292	
LYONEL	85	1332	6885	
VOLK	6	71	396	
RICHTER	11	153	825	
ERSTE MAGD	1	27	116	
EIN PÄCHTER	1	5	31	
ZWEITE MAGD	1	21	122	
EINE PÄCHTERIN	1	4	32	
DRITTE MAGD	1	25	131	
VIER MÄGDE	1	22	121	
PÄCHTER UND PÄCHTERINNEN	0	0	0	
DIE KNECHTE	4	23	119	
DAS GESINDE	1	20	119	
JÄGERINNEN	3	111	609	
HOFGESELLSCHAFT	2	58	295	
