name	acts	words	chars	
DANTON	107	1788	10428	
TALLEYRAND	66	895	5364	
HENRIOT	32	478	2953	
THEROIGNE	28	298	1711	
BARRAS	129	1678	10127	
COLLOT	55	900	5342	
HOCHE	27	284	1673	
BIRON	12	276	1645	
MARIE	17	255	1548	
ST. JUST	62	1062	6227	
FRAU ROLAND	22	277	1651	
CONDORCET	20	253	1594	
MARAT	21	560	3490	
STIMMEN	5	34	223	
EIN SANSKULOTT	8	97	580	
GROSSES GESCHREI	2	14	84	
ANDRE STIMME	2	7	39	
STIMME (1.2)	3	16	101	
MADAME TALLIEN	24	231	1390	
THEOS	13	192	1107	
LENCHEN	12	289	1716	
BONAPARTE	124	2045	12317	
CARNOT	53	615	3707	
DIE DANTE	3	27	149	
DER BETRUNKENE	1	47	293	
REDAKTEUR	16	204	1243	
JOSEFINE	70	801	4649	
MENON	21	227	1432	
JUNOT	18	153	937	
DUROC	14	97	587	
MURAT	22	227	1423	
TALMA	10	243	1372	
DIE GÄSTE	1	9	46	
RUFE	2	5	27	
STIMMEN (2.5)	16	68	445	
EINE STIMME	6	44	250	
EINE ANDERE STIMME	4	18	114	
EINE DRITTE	2	13	62	
EINE LAUTE STIMME	1	2	13	
EIN ORDONNANZOFFIZIER	1	25	167	
