name	acts	words	chars	
MARQUISE	144	3568	20083	
DOMHERR	110	4121	23314	
EIN BEDIENTER	6	85	457	
BEDIENTE	1	4	19	
DIE FRAUEN	9	41	212	
RITTER	111	3299	18712	
GRAF	162	4593	26116	
DIE MÄNNER	3	9	50	
ERSTES MÄDCHEN	2	6	34	
ZWEITES MÄDCHEN	2	8	43	
ERSTER SCHÜLER	3	17	97	
ZWEITER SCHÜLER	2	16	79	
SAINT JEAN	7	60	349	
MARQUIS	97	1859	10391	
LA FLEUR	17	309	1717	
JÄCK	19	222	1126	
NICHTE	131	2963	16467	
JUWELIER	5	129	732	
CHOR DER KINDER	1	24	116	
CHOR DER JÜNGLINGE	1	19	114	
CHOR VON INNEN	1	22	120	
MÄDCHEN (NICHTE)	1	12	65	
OBERST	43	1078	6119	
EIN SCHWEIZER	8	128	713	
DIE SCHWEIZER	0	0	0	
