name	acts	words	chars	
FRANZ VON MOOR	172	10303	57676	
DER ALTE MOOR	100	2415	12960	
KARL VON MOOR	211	9731	53839	
SPIEGELBERG	60	4235	23776	
ROLLER	27	1067	5931	
GRIMM	29	333	1771	
SCHWARZ	31	597	3240	
SCHUFTERLE	8	322	1831	
RAZMANN	38	948	5191	
SCHWEIZER	67	1753	9655	
AMALIA	111	3050	16727	
HERMANN	52	1041	5530	
DANIEL	67	1953	10349	
EINER VON DER BANDE	1	36	217	
EIN ZWEITER VON DER BANDE	1	17	86	
EIN DRITTER VON DER BANDE	1	13	79	
PATER	13	579	3334	
KOSINSKY	26	1060	5920	
DIE RÄUBER	2	52	307	
BEDIENTER	5	29	163	
MOSER	17	926	5259	
VOLK	1	12	66	
EIN RÄUBER	1	35	188	
EIN ALTER RÄUBER	1	95	509	
EIN DRITTER RÄUBER	1	35	198	
