name	acts	words	chars	
LIESCHEN	45	1979	11187	
FAUST	149	5264	29452	
GESANG DER GEISTER	1	227	1350	
MEPHISTOPHELES	67	3497	19533	
VALENTIN	130	3243	18040	
UNSICHTBARE GUTE GEISTER	7	342	2673	
KNABEN	8	64	327	
KARLCHEN	2	16	80	
FRITZCHEN	3	27	135	
GUSTELCHEN	1	3	16	
EINE TIEFE, FURCHTBARE BASSSTIMME	3	113	644	
KAMINFEGER	1	27	146	
MUTTER A	12	338	1996	
MUTTER B	2	56	338	
MUTTER C	2	58	328	
HELENA	10	389	2327	
EUPHORION	5	216	1256	
MÄNNCHEN	2	55	324	
BAUER	6	164	824	
DIE GESTALT	3	100	564	
DER MANN MIT STIERKOPF	1	35	201	
GESANG UNSICHTBARER GEISTER	2	218	1605	
STIMME	1	7	45	
SCHEMEN	8	606	3681	
DER GROSSE HUND	1	157	881	
DER KLEINE FUCHS	1	318	1813	
ERSTER MANN	1	90	466	
ZWEITER MANN	1	122	698	
CHORUS MYSTICUS	2	51	320	
STIMME DES HERRN	7	112	583	
ERZENGEL MICHAEL	1	170	1042	
BÄRBELCHEN	16	342	1824	
DR. MARIANUS	41	1837	10885	
PATER ECSTATICUS	4	91	569	
PATER PROFUNDUS	4	105	629	
PATER SERAPHICUS	6	162	876	
CHORUS	15	221	1179	
SEISMOS	1	19	112	
THALES	1	14	96	
NEREIDE	1	23	139	
ZWEI TRITONEN	1	48	290	
PINDAROS	1	15	74	
WERNER	1	34	218	
LYELL	1	30	149	
PRIESNITZ	2	111	619	
HOMUNCULUS	1	93	564	
CHOR A	2	5	41	
CHOR B	2	5	39	
STIEFEL A	2	8	46	
STIEFEL B	2	7	44	
SELIGE KNABEN	2	57	375	
STIEFELKNECHT	2	17	92	
NULL	1	14	78	
JÜNGLINGSGEISTER	1	1	15	
VOLLENDETERE FRAUENGEISTER	1	3	19	
GREISENGEISTER	1	3	34	
BÄRBEL	22	463	2455	
DENKERKE	52	2702	16301	
GRÜBELWITZ	16	339	1980	
BRÖSAMLE	16	391	2276	
HASCHERL	8	111	654	
DEUTERKE	16	355	1978	
SCHARRER	8	172	1037	
KARRER	12	203	1123	
GESANG DER STOFFHUBER	1	280	1574	
GESANG DER SINNHUBER	1	164	961	
MEHRERE STIMMEN	11	64	394	
MR. WEDGE	8	389	2479	
STEINZÄNGER	7	367	2162	
ALTER HERR	37	1608	8957	
UNBEKANNTER	25	2331	13735	
RUFE DER PRIESTER	1	20	132	
PACKAN	1	2	6	
FUCHS	1	2	6	
KATZEN	1	18	123	
PHILISTER	1	17	108	
