name	acts	words	chars	
GEISTERCHOR	4	223	1355	
VAMPYRMEISTER	1	55	301	
RUTHWEN	105	2694	14291	
JANTHE	13	345	1827	
BERKLEY	6	117	643	
EIN DIENER	1	25	152	
AUBRY	94	1788	9725	
RUTHWENS	1	1	3	
MALWINA	69	1249	6687	
DAVENAUT	60	966	5368	
GEORGE	33	974	5049	
ALLE LANDLEUTE	0	0	0	
ALLE JÄGER	0	0	0	
VIER PAAR LANDLEUTE	2	88	532	
CHOR DER JÄGER UND LANDLEUTE	8	403	2149	
CHOR DER TÄNZER	1	118	624	
CHOR DER TRINKER	2	116	629	
ALLGEMEINER CHOR	31	587	3196	
GADSHILL	4	31	165	
BLUNT	33	489	2661	
SCROP	7	63	368	
PERTH	14	186	1029	
FRAU BLUNT	26	561	3180	
EMMY	50	1034	5347	
GREEN	8	145	819	
DIE MÄDCHEN	2	8	31	
CHOR DER GÄSTE	2	54	340	
HAUSHOFMEISTER	1	4	21	
