name	acts	words	chars	
SCHEIK	318	6946	35053	
ERSTER AELTESTER	16	57	319	
ZWEITER AELTESTER	15	51	288	
DRITTER AELTESTER	10	31	188	
BABEL	87	1075	5525	
IMĀM	77	1036	5594	
KĀDI	85	1060	5253	
HĀKAWĀTI	50	760	3869	
SCHĒFAKĀ	87	1382	6758	
VORBETER	26	241	1165	
SCHEIK DER TODESKARAWANE	103	1735	8651	
PHANTASIE	88	1358	6909	
DER VORBETER	1	13	71	
BIBEL	19	417	2131	
ERSTER SCHEIK	17	116	565	
ZWEITER SCHEIK	17	105	506	
DRITTER SCHEIK	14	65	319	
VIERTER SCHEIK	13	90	452	
FÜNFTER SCHEIK	6	38	161	
SECHSTER SCHEIK	5	25	115	
SIEBENTER SCHEIK	5	27	117	
ACHTER SCHEIK	5	41	186	
ALLE ĀN'ALLĀH	7	44	139	
DIE VIER SCHMIEDE	2	7	41	
DIE AELTESTEN DER ĀN'ALLĀH	0	0	0	
