name	acts	words	chars	
DIE ERSTE NORN	5	186	938	
DIE ZWEITE NORN	8	233	1180	
DIE DRITTE NORN	5	169	884	
BRÜNNHILDE	52	2040	10478	
SIEGFRIED	91	2058	10281	
GUNTHER	58	624	3200	
HAGEN	93	1573	8080	
GUTRUNE	27	373	1912	
WALTRAUTE	11	470	2320	
ALBERICH	7	372	1844	
EIN MANNE	4	23	109	
NEUN WEITERE MANNEN	1	6	27	
ACHT MANNEN	1	5	24	
VIER WEITERE	1	4	17	
ZWEI MANNEN	2	14	74	
WEITERE ZEHN MANNEN	1	7	41	
DIE MANNEN	20	196	1042	
FRAUEN	3	10	60	
WOGLINDE	7	39	188	
WELLGUNDE	9	45	219	
FLOSSHILDE	8	45	213	
VIER MANNEN	2	7	38	
ZWEI ANDERE MANNEN	1	3	14	
