name	acts	words	chars	
BRENNER	82	1234	6958	
MEPHISTOPHELES	171	2197	12824	
ERSTER STUDENT	18	118	668	
ZWEITER STUDENT	9	91	513	
DRITTER STUDENT	2	11	51	
DOKTOR FAUST	543	10640	60696	
FAUSTS VATER	120	1570	8594	
GERICHTSDIENER	6	31	165	
ITHURIEL	62	1112	6576	
STIMME	11	136	841	
ERSTER GEIST	2	7	44	
ZWEITER GEIST	3	23	122	
SIEBENTER GEIST	4	30	187	
DRITTER GEIST	2	15	213	
VIERTER GEIST	1	13	70	
LIESE	49	505	2575	
WIRT	2	22	131	
EREMIT	12	91	487	
MÄDCHEN	5	59	351	
MANN	4	68	425	
ALTER	6	66	381	
MALER	8	83	451	
DAME	3	69	385	
GEIST	24	506	2972	
SOKRATES	8	34	211	
CATO	3	15	109	
SOLON	2	30	208	
ERSTER HÖFLING	3	19	114	
ZWEITER HÖFLING	3	40	211	
DRITTER HÖFLING	3	39	193	
VIERTER HÖFLING	3	52	295	
FÜNFTER HÖFLING	2	39	193	
FÜRST	17	111	607	
KÄMMERER	1	25	143	
OBRISTER	1	4	25	
JÄGERMEISTER	1	13	74	
KANZLER	1	3	19	
HELENA	1	3	15	
FAUSTS MUTTER	37	290	1518	
REISENDER	13	90	522	
GÜRGEL	1	1	6	
VOLK	48	444	2429	
