name	acts	words	chars	
Alfred	269	2784	18545	
Die Mutter	54	573	3477	
Die Grossmutter	67	1008	6416	
Der Hierlinger Ferdinand	36	609	4374	
Valerie	272	2458	14872	
Oskar	94	1040	6530	
Ida	7	36	209	
Havlitschek	26	443	2900	
Rittmeister	91	1123	7494	
Eine gnädige Frau	7	103	762	
Marianne	201	1954	11666	
Zauberkönig	153	2321	15391	
Erich	76	716	4857	
Emma	13	126	794	
Helene	9	169	1138	
Der Dienstbot	1	10	49	
Baronin	13	201	1458	
Beichtvater	15	250	1780	
Der Mister	41	582	3826	
Der Conférencier	15	217	1778	
