name	acts	words	chars	
PROFESSOR REMIGIUS WOHLGEMUT	130	1592	8936	
HUBERT	253	4211	23393	
ROSL	114	969	4947	
MUTTER	91	1072	5685	
RABANSER	130	3996	22986	
BABÚSCH	16	376	2135	
DOKTOR FALLMER	185	5158	29330	
DIENSTMÄDCHEN	18	125	622	
POGATSCHNIGG	35	496	2722	
TAUBE	15	116	661	
MAGENTROST	16	289	1806	
STIMME VON DRAUSSEN	2	2	15	
RABANSER CHORAGETES	2	285	1659	
CHORUS PUERORUM	1	59	323	
PATER CONFESSOR	1	44	239	
CHORUS ADOLESCENTIUM	1	53	327	
VOX PATRIS E TENEBRIS INFIMIS	1	5	33	
VOCES APOKALYPTICAE DE COELIS CANTANTES	1	12	70	
