name	acts	words	chars	
STEN	21	306	1599	
HASKO	12	249	1279	
RICHERS	109	3622	19856	
BOTWID	43	619	3257	
THEIT	35	219	1137	
STRUEN	22	125	632	
JÖRAN	158	3066	16883	
EDELKNABE	2	3	13	
KÖNIG	126	2458	13453	
KÖNIGINN	73	2101	11135	
WOLOWSKY	76	1482	7854	
CATHARINA	93	2802	14714	
SIEGMUND	14	272	1372	
JOHANN	70	1606	8749	
GRUSKEL	9	221	1221	
HAUPTMANN	20	140	744	
RATHSDIENER	2	11	46	
BRASKE	53	1430	7987	
EINIGE RÄTHE	0	0	0	
EINER	1	4	21	
EINIGE	1	6	31	
EIN RATH	1	6	32	
MEHRERE RÄTHE	0	0	0	
PAGE	4	37	199	
KAMMERHERR	7	29	148	
