name	acts	words	chars	
DER FREMDE	85	1670	9310	
DER ALTE MANN	12	385	2168	
DER ALTE GÄRTNER	23	815	4556	
DER JUNGE GÄRTNER	14	191	1066	
DER ERSTE FREIER	10	247	1444	
DER HERR	20	141	802	
DER ZWEITE FREIER	12	77	426	
DER DRITTE FREIER	20	453	2517	
DER DICHTENDE FREIER	23	295	1593	
DAS FRÄULEIN	19	211	1156	
DER ERFAHRENE WÄCHTER	49	904	5047	
DER SEHENDE WÄCHTER	62	873	5054	
DER ERSTE GEBLENDETE	6	172	1023	
DER ZWEITE GEBLENDETE	5	221	1365	
DER KNECHT	3	58	335	
DIE STUMME SKLAVIN	2	0	0	
BELIAN	50	1355	7571	
MARPALYE	48	651	3655	
DIE KNECHTE	0	0	0	
DER DRITTE GEBLENDETE	2	5	45	
DER NARR	26	629	3542	
DER WAFFENMEISTER	31	630	3546	
DIE JUNGEN BAULEUTE	0	0	0	
EINER DER BAULEUTE	1	61	334	
EIN JUNGES MÄDCHEN	2	26	133	
