name	acts	words	chars	
CHOR	1	27	156	
HERRMANN	15	363	1995	
SUSE	108	5129	27164	
DIE SCHMIEDE	3	18	86	
DIE GESELLEN	2	20	136	
HANNS	35	594	3029	
ALTGESELL	5	92	544	
HOFHERREN UND DAMEN	1	8	41	
GERTRUD	47	1232	6758	
ELSE	128	3655	19561	
DIE ALTE	8	230	1239	
FRIEDEL	19	376	2005	
MARTIN	11	412	2324	
CHRISTEL	18	535	2868	
DÄMON	1	163	948	
MEHRERE BAUERSLEUTE	1	0	0	
ERSTES WEIB	1	19	95	
ZWEITES WEIB	4	105	561	
ERSTER BAUER	1	4	19	
OHLES	4	56	323	
STEFFENS	8	242	1297	
GRAF	9	492	2661	
HERZOG	10	588	3346	
HERZOGIN	7	93	511	
RUDOLPH	28	1129	6269	
