name	acts	words	chars	
CYPRIAN	17	235	1253	
DOKTOR KRIMS, DOKTOR KRAMS	2	119	617	
SUSANNE	0	0	0	
NADL	0	0	0	
LEIST	0	0	0	
BABETTE	0	0	0	
GERTRAUD	0	0	0	
MARGARETH	0	0	0	
THERES	0	0	0	
TRÜB	78	1077	5846	
FROH	105	1432	7735	
FAD	107	1146	6219	
BRAUS	91	1171	6396	
MARIE	89	1155	6276	
WALBURGA	94	1311	7181	
AGNES	89	934	4913	
IRENE	70	771	4134	
HUTZIBUTZ	182	2958	16260	
SCHLANKEL	266	5567	30956	
ISABELLA	67	658	3467	
BRIGITTE	23	162	884	
NANETTE	11	93	473	
GUIDO	32	331	1841	
FELIX	42	746	4343	
EDMUND	32	305	1675	
ROBERT	48	522	2912	
CHOR	4	60	332	
SCHMERZ	33	409	2262	
GLÜCK	51	854	4737	
STURM	50	650	3523	
SCHLAF	33	376	1970	
ROH	1	3	16	
FRAU VON KORBHEIM	6	131	723	
LISETTE	1	0	0	
SEPHERL	1	0	0	
FRAU VON NACHTSCHATTEN	0	0	0	
FINSTER	2	35	204	
JAKOB	5	41	224	
