name	acts	words	chars	
ZECH	1	10	53	
ZUWAG	2	26	163	
PLUTZERKERN	5	51	258	
FRIEDRICH	23	250	1379	
ANTON	6	66	375	
SEPHERL	47	461	2415	
CHRISTOPH	12	140	746	
NETTEL	1	23	112	
SEPPEL	3	12	76	
RESI	1	11	61	
GOLDFUCHS	98	1278	7272	
DAMIAN	149	2762	15079	
JOHANN	139	3653	20434	
SALERL	55	936	4968	
BONBON	36	519	2848	
SCHLUCKER	109	1601	8716	
ZINS	61	1168	6313	
EMILIE	69	650	3424	
FANNY	71	909	4732	
ADOLF	79	961	5047	
FRAU VON STEINFELS	1	5	27	
HERR VON STEINFELS	4	16	91	
FRAU VON WACHSWEICH	1	5	22	
HERR VON WACHSWEICH	1	5	29	
DIE GESELLSCHAFT	1	1	4	
CHOR DER GÄSTE	3	48	268	
CHOR	3	127	680	
ASPIK	2	34	181	
FRANÇOIS	3	77	402	
MERIDON	6	65	362	
WILM	10	113	614	
WERMUTH	5	26	136	
EINIGE HERREN	1	8	49	
EIN HERR	2	20	92	
GROB	10	101	566	
TRUMPF	3	32	185	
BEAMTER	13	212	1290	
BEDIENTE	2	36	198	
DIE BEDIENTEN	4	36	281	
EIN WÄCHTER	1	8	46	
ZWEITER WÄCHTER	0	0	0	
