name	acts	words	chars	
WERNER	54	1371	7216	
CONRADIN	46	1015	5386	
HAUSHOFMEISTER	5	158	895	
DIE STUDENTEN	13	243	1384	
DIE LANDSKNECHTE	6	102	579	
RECTOR MAGNIFICUS	3	46	279	
CHOR	7	216	1195	
EINIGE ÄLTERE MÄNNER	1	21	110	
CHOR DER JUNGEN SÄKKINGER	1	46	249	
EINIGE JUNGE MÄDCHEN	3	45	235	
CHOR DER HAUENSTEINER BAUERN	9	182	980	
DIE SCHIFFSLEUTE	1	4	24	
MARIA	38	794	4038	
GRÄFIN	46	937	4879	
FREIHERR	47	1462	7712	
FREIHERRIN	1	9	56	
VIER HEROLDE	1	50	262	
GRAF VON WILDENSTEIN	8	125	650	
DAMIAN	15	182	1026	
CHOR DER BÜRGER UND BÜRGERINNEN	1	26	128	
ALLGEMEINER SCHLUßCHOR	1	39	219	
