name	acts	words	chars	
THIBAUT	27	1517	8232	
LOUISON	15	265	1355	
CLAUDE MARIE	5	71	388	
MARGOT	18	244	1293	
RAIMOND	37	924	5096	
BERTRAND	19	1018	5525	
JOHANNA	153	6636	36040	
DUNOIS	64	2037	10947	
DU CHATEL	20	327	1674	
KARL	113	3057	16516	
EDELKNECHT	3	22	124	
RATSHERR	6	223	1196	
SOREL	35	1500	7936	
LA HIRE	37	876	4739	
ERZBISCHOF	16	668	3659	
RAOUL	2	412	2263	
VIELE STIMMEN	1	6	40	
HEROLD	6	110	583	
TALBOT	28	940	5212	
LIONEL	39	1028	5639	
BURGUND	53	1282	6953	
ISABEAU	47	1256	6864	
SCHILDWACHE	1	3	23	
ERSTER	1	6	29	
ZWEITER	1	10	52	
DRITTER	1	7	37	
VIERTER	0	0	0	
FÜNFTER	0	0	0	
SOLDAT 2.5	1	6	36	
SOLDAT 5.11	20	325	1664	
MONTGOMERY	8	528	2920	
RITTER	4	102	582	
CHATILLON	9	160	887	
AGNES	1	47	250	
FASTOLF	10	166	880	
SCHWARZER RITTER	6	155	813	
ETIENNE	1	36	190	
VOLK	2	15	75	
MEHRERE STIMMEN	1	2	10	
KÖHLER	8	258	1344	
KÖHLERWEIB	4	100	530	
KÖHLERBUB	1	14	76	
SOLDATEN	0	0	0	
ANFÜHRER DER SOLDATEN	1	6	28	
EDELMANN	1	24	125	
HAUPTMANN	1	24	137	
