name	acts	words	chars	
ERSTER SCHREIBER	1	3	20	
ZWEITER SCHREIBER	1	3	20	
DIE ANDEREN SCHREIBER	1	10	52	
SCHRAUBER	74	1316	7322	
FÄHNLEIN	90	2508	13763	
HERMINE	73	1505	8336	
ZÄNKER	17	256	1428	
DOKTOR HAMMER	137	3114	17294	
ALWINE	65	1383	7640	
EIN TEIL DER GESELLSCHAFT	1	4	27	
DIE ANDERN (DER GESELLSCHAFT)	1	8	43	
ROST	3	28	162	
RELLMANN	1	17	99	
HERR SEITZER	2	31	155	
FRAU SEITZER	2	20	112	
TATERL	1	56	326	
FRAU XANDL	67	1522	8132	
ARBEITER	2	22	108	
BURSCHE	3	17	86	
SEIN WEIB (ARBEITER)	1	8	46	
ADALGISE	3	34	211	
FRAU HOLLER	9	56	322	
THOMAS	183	7027	38424	
DIENSTMANN	1	19	100	
EIN STROLCH	4	87	458	
FLORIAN	29	619	3319	
ALTE HAMMER	103	3489	18155	
JETTE	3	149	818	
