name	acts	words	chars	
DAS VOLK	1	5	33	
MAX	100	1511	8148	
CHOR DER LANDLEUTE	2	33	198	
KILIAN	11	275	1426	
MÄDCHEN	1	1	21	
KUNO	22	697	3908	
KASPAR	85	2154	12156	
EINIGE JÄGER	1	14	76	
ANDERE JÄGER	1	6	27	
DIE WEIBER	1	7	35	
DIE MÄNNER	2	29	144	
CHOR	4	62	329	
DIE JÄGER	0	0	0	
ÄNNCHEN	42	1491	8227	
AGATHE	66	1178	6180	
STIMMEN UNSICHTBARER GEISTER	1	44	240	
SAMIEL	10	40	193	
DAS ECHO	6	8	37	
ERSTER JÄGER	6	48	301	
ZWEITER JÄGER	5	89	481	
DRITTER JÄGER	1	20	116	
EINE BRAUTJUNGFER	4	86	484	
OTTOKAR	13	372	1990	
CHOR DER HOFLEUTE	0	0	0	
EINIGE	2	16	77	
EREMIT	20	659	3645	
