name	acts	words	chars	
VALERIA	285	6089	32054	
PONCE	295	7266	38545	
VALERIO	237	5312	28814	
SARMIENTO	142	2644	14487	
PORPORINO	163	3896	21152	
DIENER	30	617	3231	
AQUILAR	187	2986	15759	
ANDERER DIENER	7	82	425	
DAME	2	24	120	
EIN DIENER	2	7	39	
FELIX	86	1723	9254	
BEDIENTER	2	40	227	
JUANNA	10	276	1708	
PEREZ	3	55	317	
MELANIE	60	807	4225	
ISIDORA	104	1882	9756	
ISABELLA	42	796	4372	
TRÄGER	1	7	32	
LUCILLA	45	939	5096	
ALONSO	18	479	2614	
DER ALTE DIENER	1	6	34	
PFEIFER	7	147	847	
GEIGER	3	27	139	
RITTER	3	120	632	
ZIGEUNERIN	4	90	486	
VIELE	1	6	20	
