name	acts	words	chars	
DIETHER	133	1234	6024	
KÄTHE	204	2670	13726	
WAGNER	84	1803	9575	
FAUST	348	6674	34205	
CHORALARTIGER GESANG	3	33	218	
DER FREMDE	108	1348	6927	
DUMPFE STIMME	6	108	581	
STIMME 5.7	2	13	70	
STUDENTENCHOR	0	0	0	
STUDENTEN	0	0	0	
ERSTER STUDENT	16	306	1625	
ZWEITER STUDENT	9	42	208	
DRITTER STUDENT	8	41	200	
HELENE	53	525	2728	
ERSTER LEICHENTRÄGER	14	101	534	
ZWEITER LEICHENTRÄGER	4	29	156	
DIE LEICHENTRÄGER	0	0	0	
ANFÜHRER	15	84	476	
ERSTE MASKE	9	44	265	
ZWEITE MASKE	6	33	185	
DRITTE MASKE	5	18	106	
GERICHTSDIENER	1	3	14	
