name	acts	words	chars	
TAMINO	90	1287	6704	
ERSTE DAME	16	236	1247	
ZWEYTE DAME	11	117	597	
DRITTE DAME	9	198	1011	
PAPAGENO	152	3132	15884	
KÖNIGINN	10	465	2552	
DRITTER SCLAV	9	178	970	
ERSTER SCLAV	9	83	418	
ZWEYTER SCLAV	4	21	105	
MONOSTATOS	25	672	3536	
PAMINA	79	1197	6158	
STIMME	2	4	14	
PRIESTER	16	178	947	
EINIGE STIMMEN	2	8	42	
SARASTRO	23	815	4514	
ERSTER PRIESTER	1	3	18	
ZWEYTER PRIESTER	15	174	989	
DRITTER PRIESTER	1	3	15	
SPRECHER	16	426	2255	
WEIB	25	175	909	
CHOR	4	154	781	
EINE STIMME	2	8	43	
ERSTER KNABE	2	10	57	
ZWEYTER KNABE	0	0	0	
DRITTER KNABE	0	0	0	
ZWEY GEHARNISCHTE	3	106	576	
MOHR	4	57	327	
CHOR VON PRIESTERN	1	34	177	
