name	acts	words	chars	
DER GRAF VON HOHENZOLLERN	129	2261	12182	
DER KURFÜRST	120	2313	12482	
DIE KURFÜRSTIN	42	476	2558	
PRINZESSIN NATALIE	98	1838	10091	
EIN HOFKAVALIER	7	38	201	
DER PRINZ VON HOMBURG	201	4015	21637	
DER PAGE	3	43	220	
FELDMARSCHALL DÖRFLING	37	789	4375	
OBERST HENNINGS	2	3	16	
GRAF TRUCHSS	15	115	651	
EIN HEIDUCK 2.2	3	30	164	
RITTMEISTER VON DER GOLZ	27	221	1216	
EIN REITKNECHT	1	1	5	
OBRIST KOTTWITZ	52	1102	5837	
ERSTER OFFIZIER	14	121	646	
ZWEITER OFFIZIER	5	44	239	
DRITTER OFFIZIER	3	29	158	
HOFKAVALIER	3	82	445	
DER BAUER	1	4	17	
DIE FRAU	1	4	21	
DIE HOFDAMEN	1	6	24	
MÖRNER	5	272	1588	
ERSTE HOFDAME	5	51	268	
WACHTMEISTER	4	54	307	
GRAF SPARREN	6	407	2265	
REUTER	1	1	5	
GRAF REUSS	13	255	1389	
LÄUFER	2	9	62	
ERSTER BEDIENTER	1	3	22	
ERSTER HEIDUCK	1	11	68	
ZWEITER HEIDUCK	2	21	105	
OFFIZIER	6	70	335	
STRANZ	5	60	295	
