name	acts	words	chars	
FAUST	137	3229	17788	
STIMME ZUR LINKEN	2	37	222	
STIMME ZUR RECHTEN	3	28	168	
MEHRERE STIMMEN ZUR LINKEN	1	1	9	
WAGNER	35	663	3971	
CASPERLE	95	3572	19046	
ERSTER GEIST	7	44	235	
ZWEITER GEIST	4	37	182	
DRITTER GEIST	6	42	241	
VIERTER GEIST	3	19	98	
FÜNFTER GEIST	37	512	2784	
SECHSTER GEIST	5	40	210	
SIEBENTER GEIST	4	32	162	
MEPHISTOPHELES	58	1354	7282	
SCHUTZGEIST	1	31	187	
TEUFELCHEN	1	1	7	
XERXES	1	5	34	
DON CARLOS	30	724	3885	
HERZOG	10	160	893	
HERZOGIN	27	439	2307	
DAS FRAUENZIMMER	1	2	19	
ALTES WEIB	1	2	19	
DUMPFE STIMME VON OBEN	5	24	167	
GRETL	2	18	100	
KASPAR	23	1223	7741	
TEUFEL	7	577	3247	
