name	acts	words	chars	
SCHULMEISTER	110	4266	25336	
TOBIES	15	332	1868	
GOTTLIEBCHEN	8	62	329	
TEUFEL	104	3651	21095	
ERSTER NATURHISTORIKER	10	357	2115	
ZWEITER NATURHISTORIKER	4	175	1072	
DRITTER NATURHISTORIKER	6	53	299	
VIERTER NATURHISTORIKER	6	159	900	
RATTENGIFT	56	1915	10963	
LIDDY	62	1021	5923	
WERNTHAL	28	361	2075	
BARON	48	906	5355	
EIN DIENER	2	39	231	
EIN BEDIENTE	6	62	393	
DER SCHMIED	20	279	1566	
FREIHERR	16	319	1782	
MOLLFELS	45	1902	11306	
GRETCHEN	4	78	474	
DIE SPIESSGESELLEN	1	1	3	
DER HAUSWIRT	1	6	31	
DES TEUFELS GROSSMUTTER	4	76	439	
DER RÖMISCHE KAISER NERO	3	18	96	
GRABBE	1	8	59	
