name	acts	words	chars	
EULENSPIEGEL	125	2870	16996	
VIERSTIMMIGER GESANG MIT LAUTENSPIEL	4	39	205	
MICHEL MICHAEL	190	3826	21200	
LISE	101	1343	7273	
DER ROTE KARL	53	592	3389	
DER SCHWARZE KARL	33	403	2345	
DER KAISER ROTBART	47	426	2463	
DER GETREUE ECKART	44	493	2772	
DER LANDRAT	57	662	3931	
CHORGESANG MIT MUSIK	1	10	53	
DER BERGRAT	85	987	5404	
DER BÜRGERMEISTER	14	102	643	
DIE FRAU BÜRGERMEISTERIN	24	200	1027	
DER PASTOR	7	75	434	
DER KAPLAN	20	174	931	
SPRECHGESANG	1	19	107	
DUMPFE STIMMEN IM HINTERGRUND	1	6	32	
DER OBERHEIZER	6	63	416	
DIE KOBOLDE	17	49	284	
FRAU VENUS	36	1122	6570	
DIE LANDRÄTE	4	10	61	
DIE KAPLANE	2	3	23	
DIE PASTOREN	1	1	6	
DIE BÜRGERMEISTER	1	3	14	
DIE HEIZER	3	12	65	
DIE BERGLEUTE	1	1	5	
EIN BERGMANN	1	9	60	
DIE GANZE BANDE	1	14	86	
ERSTER KOBOLD	6	25	115	
ZWEITER KOBOLD	2	9	49	
DRITTER KOBOLD	2	8	44	
EINE DAME	1	2	8	
DIE HERREN	3	11	49	
DIE DAMEN	0	0	0	
DIE POLIZISTEN	2	27	153	
IMMER MEHR STIMMEN VON DRAUßEN HER	1	6	32	
DIE BERGKNAPPEN	15	107	643	
