name	acts	words	chars	
PHALARIUS	38	1899	10352	
HADES	23	1246	6887	
ANTROGÄUS	2	64	323	
CHOR	2	83	394	
LUCINA	39	1843	10170	
KREON	16	528	2812	
EWALD	145	2320	12466	
SIMPLIZIUS	223	5134	27672	
RIEGELSAM	35	584	3217	
ZWEI GERICHTSDIENER	1	16	80	
GENIUS DES TODES	6	71	378	
GEJAMMER	1	4	16	
THESTIUS	11	284	1571	
EPAMINONDAS	18	246	1325	
HIPPOMEDON	6	63	348	
EINE FRAU	1	4	28	
SILLIUS	1	8	43	
ARGOS	1	10	58	
DIENER	2	28	164	
HARMODIUS	6	161	890	
ARETE	33	399	2136	
HERAKLIUS	6	121	638	
ADRASTO	2	34	168	
ANTROKLES	9	485	2637	
CLITONIUS	6	93	490	
LULU	12	157	861	
FANFU	1	6	37	
DIE GENIEN	1	4	25	
EIN JÄGER	2	30	148	
OCTAVIAN	8	334	1739	
ATRITIA	29	694	3551	
OLIMAR	23	244	1243	
ASTRACHAN	17	189	1026	
ABUKAR	6	56	294	
NIMMELOT	1	7	44	
ALOE	28	846	4495	
GESCHREI	2	15	73	
DARDONIUS	47	699	3866	
EIN HÖFLING	4	33	168	
DIE KRIEGER	4	16	96	
DIE HÖFLINGE	0	0	0	
DIE MÄNNER	2	11	68	
DIE FRAUEN	3	24	101	
DIE DREI GEISTER	7	68	378	
ALEKTO	4	23	125	
MEGÄRA	2	8	48	
TISIPHONE	1	3	17	
