name	acts	words	chars	
WENDLA	109	2122	11162	
FRAU BERGMANN	48	1129	6117	
MELCHIOR	149	2947	16101	
OTTO	17	160	832	
MORITZ	106	4634	25896	
GEORG	13	93	531	
ROBERT	13	120	714	
ERNST	20	280	1543	
MARTHA	36	527	2757	
THEA	22	250	1370	
LÄMMERMEIER	7	57	310	
HÄNSCHEN RILOW	22	1122	6653	
KNOCHENBRUCH	3	48	297	
HUNGERGURT	2	28	183	
FRAU GABOR	20	1377	7989	
ILSE	31	969	5644	
SONNENSTICH	28	1070	6767	
KNÜPPELDICK	1	23	122	
ZUNGENSCHLAG	3	84	542	
HABEBALD	8	24	176	
FLIEGENTOD	2	69	429	
PASTOR KAHLBAUCH	2	172	1080	
RENTIER STIEFEL	2	34	170	
ONKEL PROBST	2	35	201	
FREUND ZIEGENMELKER	2	55	308	
HERR GABOR	10	893	5259	
DIETHELM	2	21	112	
REINHOLD	1	3	17	
RUPRECHT	5	15	84	
HELMUTH	6	21	108	
GASTON	2	11	69	
DR. PROKRUSTES	2	55	364	
DER SCHLOSSERMEISTER	1	7	42	
INA	3	118	631	
DER VERMUMMTE HERR	22	517	2954	
Dr. VON BRAUSEPULVER	3	242	1508	
