name	acts	words	chars	
CHOR DER FISCHER	6	152	863	
FASANELLA	1	6	35	
GHISMONDE	47	1610	8428	
DIE VERBANNTEN	9	164	845	
EINE NONNE	1	10	46	
CHOR DER NONNEN	3	33	180	
MANFRED	67	1851	9701	
CHOR DER RITTER	1	27	161	
ECKART	20	408	2157	
KARDINAL	17	355	1893	
HELENE	31	793	4124	
BORELLO	3	49	259	
FULCO	1	9	53	
ANNIBALDI	0	0	0	
CHOR DER LANDLEUTE	1	65	347	
CHOR DER SCHIFFER	1	43	250	
PAGE	5	251	1263	
CHOR DER BACCHANTINNEN	1	205	1109	
CHOR DER PRIESTER UND CHORKNABEN	1	3	22	
CHOR DER MÄDCHEN	0	0	0	
CHOR DER SARAZENEN	2	82	467	
CHOR DER FRAUEN	2	8	44	
CHOR DER FRANZÖSISCHEN RITTER	0	0	0	
