name	acts	words	chars	
ZOE	39	1003	5212	
DIE FRAU	15	231	1190	
DER BLINDE	8	47	222	
PAUSANIAS	70	1282	6636	
DER GREIS	19	448	2388	
STIMMEN	2	10	60	
APELLES	238	7669	39817	
LONGINUS	97	1551	8037	
AURELIUS	29	706	3829	
SEPTIMIUS	25	541	2757	
BOLANA	33	585	2972	
SKLAVIN	4	38	199	
TIMOLAOS	42	1726	9636	
SATURNINUS	7	528	2876	
VOLK	8	42	219	
ERSTER BÜRGER	11	71	394	
ZWEITER BÜRGER	5	33	189	
PHÖBE	41	1311	6495	
SKLAVE	2	14	75	
JAMLICHUS	10	187	969	
HERENNIANOS	28	1047	5575	
PERSIDA	33	526	2625	
TRYPHENA	3	105	552	
JARCHAI	8	140	726	
EIN BÜRGER	1	3	23	
NYMPHAS	63	900	4760	
ZABBÄOS	21	550	2796	
STIMME	4	36	212	
AGRIPPA	8	129	677	
MÄONIOS	15	256	1301	
SELEUKOS	6	83	451	
ZENOBIA	8	432	2197	
