name	acts	words	chars	
LIDI	8	220	1308	
FEE	7	237	1332	
ALLE NYMPHEN	0	0	0	
QUECKSILBER	187	5642	31103	
STIMME DES HORNES	1	5	24	
STIMME DER SCHÄRPE	1	4	21	
STIMME DES STABES	1	4	24	
DIE GENIEN	1	5	25	
MATROSEN	1	20	111	
ERSTER MATROSE	6	168	972	
TUTU	72	1706	9508	
LINDA	60	1049	5472	
ZORAIDE	115	2056	11553	
HASSAR	47	705	3893	
BEDIENTE	1	19	90	
VOLK	2	23	105	
QUECKSILBERS DIENER	1	1	6	
EINE WACHE	5	59	324	
ANFÜHRER	4	31	187	
ERSTER HUSAR	5	48	347	
DIE AMAZONEN	1	2	7	
CHOR	4	71	376	
ZADI	19	235	1259	
SKLAVE	1	5	29	
LEIBARZT	1	20	116	
