name	acts	words	chars	
FUST	17	321	1781	
FROWALD	15	349	1887	
GÜNTHER	135	2206	12020	
KÄSPERLE	135	3246	16669	
HANS	36	851	4538	
BODO	7	89	478	
WALLBERG	7	66	357	
ECKHARD	5	136	662	
RUDOLPH	1	6	38	
VEIT	32	1239	6467	
WALLFAHRER	8	226	1229	
JERIEL	44	1060	5589	
GEIST	25	784	4324	
MÄRTCHEN	15	507	2558	
RITTER HANS	5	48	296	
BERTHA	7	112	598	
MATHILDE	28	535	2852	
ECKARD	7	87	456	
OTTO	19	400	2269	
BURGVOGT	3	31	188	
WEIB	5	220	1227	
STIMME	1	14	80	
RITTER	2	73	416	
MÄDCHEN	4	68	315	
DIE ALTE	3	86	486	
BOODSHEIM	6	189	1057	
ERSTER KNAPPE	1	5	25	
KNECHT	1	16	103	
MANN	7	250	1373	
HANNS VON STAUFFEN	41	896	4901	
GREISS	2	29	157	
BERTHOLD	4	48	273	
KILIAN	11	519	2812	
