name	acts	words	chars	
LEONORE	78	3250	18635	
ARABELLA	21	260	1426	
ROSA	9	93	507	
GIANETTINO	88	1381	8012	
MOHR	112	2623	14895	
CALCAGNO	62	1067	6163	
SACCO	25	476	2794	
JULIA	52	1686	9643	
FIESCO	326	10412	61633	
GÄSTE	2	12	86	
LOMELLIN	48	768	4366	
MASKEN	0	0	0	
EINE MASKE	9	123	674	
VERRINA	112	2982	17102	
BOURGOGNINO	69	1094	6187	
BERTA	32	168	933	
ZIBO	42	382	2283	
ZENTURIONE	51	502	2917	
ASSERATO	15	127	695	
EINIGE	2	14	76	
ERSTER HANDWERKER	9	99	585	
ZWEITER HANDWERKER	5	64	354	
DRITTER HANDWERKER	1	8	34	
BELLA	3	97	508	
ANDREAS	25	742	4359	
ROMANO	5	153	962	
TEUTSCHER	10	161	945	
WACHEN AM HOFTOR	0	0	0	
WACHE	4	8	40	
EINE STIMME	1	11	68	
VERSCHWORENE	0	0	0	
BEDIENTER	1	10	59	
TEUTSCHE	0	0	0	
EINIGE VERSCHWORENE	1	5	31	
