name	acts	words	chars	
HOCHMANN	21	257	1488	
CHRISTOPH	156	4641	25367	
TORF	21	373	2126	
ROBERT	252	5598	30671	
SCHLENKHEIM	59	1684	9348	
SANDEL	34	716	4227	
HELFER	64	1463	7701	
HENRIETTE	15	311	1692	
JOHANN	1	0	0	
GRUND	23	429	2466	
AMTSPRAKTIKANT HAGER	7	132	811	
ROHR	2	8	51	
DIENER	1	3	17	
TOSSMANN	51	1719	9485	
MARTIN	26	748	3726	
FRAU VON BRIGGE	24	598	3279	
KAROLINE	9	131	716	
ELEGIUS OBENAUS	27	799	4494	
SCHNAPPER	10	221	1208	
STÜRMER	4	82	436	
DIE OFFIZIERE	1	2	9	
GRÜNMANN	2	47	238	
HALLER	3	33	163	
DIE BAUERN	13	99	504	
DER RICHTER	5	128	692	
JACQUES	1	0	0	
LEOPOLD	1	0	0	
MATTHIAS	6	30	146	
CHARLES	1	0	0	
GLANZBERG	3	72	394	
MADAME FLOR	6	116	599	
