name	acts	words	chars	
DATTERICH	231	6808	37798	
BENNELBÄCHER	38	767	4150	
SPIRWES	48	687	3735	
LISETTE	46	528	2849	
KNERZ	19	209	1135	
JUNGE	1	16	88	
ERSTER HANDLANGER	11	257	1455	
ZWEITER HANDLANGER	2	39	210	
DRITTER HANDLANGER	1	5	28	
SCHMIDT	107	1332	7160	
DUMMBACH	92	2385	13363	
MARIE	82	1502	7964	
FRAU DUMMBACH	41	545	2868	
DER GEIGER	5	87	451	
STEIFSCHÄCHTER	11	138	725	
WIRTHSJUNGE	4	53	295	
BENGLER	22	633	3393	
EVCHEN	22	295	1539	
KNIPPELIUS	42	828	4572	
ERSTER POLIZEIDIENER	3	24	123	
ZWEITER POLIZEIDIENER	4	26	142	
