name	acts	words	chars	
SCHRIFTGELEHRTER	3	53	295	
JESUS	3	29	160	
EINER DER SCHÄCHER	1	9	45	
DER ANDERE SCHÄCHER	1	25	132	
AHASVERUS	41	1631	8962	
CELINDE	65	1924	10129	
CARDENIO	77	3803	20401	
KAPITÄN	33	812	4353	
LICHTERZIEHER	12	253	1388	
KLEINER BUBE	11	267	1375	
REICHER PILGER	33	919	5035	
MATROSE	4	63	325	
SCHIFFSLEUTE	4	58	312	
MATROSEN	0	0	0	
BROMLY	44	1162	6459	
LYSANDER	39	1134	6108	
SIDNEY	50	2419	13130	
OLYMPIE	52	2883	15755	
DEUTSCHE SOLDATEN	1	22	127	
DIE ENGLISCHEN MATROSEN	1	61	350	
DIE GESTALT	5	174	894	
DER STORCH	1	34	171	
DIE PILGER	1	28	151	
KÜMMELTÜRKE	15	379	2146	
WAISENHÄUSER	23	497	2736	
DER ALTE	1	98	528	
DIENEMANN	14	289	1595	
JUNGFRAU	9	242	1292	
ENGLÄNDER	2	168	947	
EINER DER ENGLÄNDER	4	73	353	
EIN JÄGER	1	59	324	
EIN REITER	1	34	191	
VIELE DER ENGLÄNDER	1	11	54	
ANDRER DER ENGLÄNDER	2	10	46	
SCHILDWACHE	1	57	306	
SOLDATEN	1	25	128	
ARZT	1	60	305	
VIREN	24	643	3588	
BUBE	29	619	3328	
LORD	11	366	2036	
REICHE PILGER	1	17	102	
MAHOMEDANER	7	75	426	
CHRISTEN	7	53	289	
MOHR	1	148	754	
DER EINSIEDLER	3	355	1808	
MÖNCH	1	15	76	
SCHÄFERMÄDCHEN	5	129	648	
SCHÄFERKNABE	5	98	466	
BASSA	14	442	2372	
FAVORITE	15	602	3264	
FATME	13	246	1300	
ACHMET	1	24	131	
ROXANE	4	84	441	
DIE ÄBTISSIN	13	438	2427	
NONNE	5	76	386	
ANDRE NONNE	5	176	896	
EINE DRITTE NONNE	3	38	184	
PFÖRTNERIN	1	8	50	
ERSTER ALTER	6	55	309	
ZWEITER ALTER	4	17	102	
DRITTER ALTER	6	43	247	
RABBI	1	29	149	
JUDE	1	20	97	
JUDEN	0	0	0	
REISENDER	27	1136	6201	
DER SCHMID	7	514	2703	
STIGMA	3	48	274	
GUARDIAN	12	730	4104	
HIRTINNEN	1	30	166	
HIRTEN	1	31	140	
CHOR DER NONNEN	9	403	2105	
GRIECHEN	3	61	364	
ARMENIANER	2	65	345	
STIMME AUS DEM HEILGEN GRABE	1	206	1154	
DER DICHTER	1	21	124	
