name	acts	words	chars	
ALBRECHT	152	4171	23478	
HANS ZENGER	50	922	5020	
PERCIFAL ZENGER	21	270	1423	
AGNES	110	3025	16530	
EMERSHOFEN	5	90	520	
PREISINGER	7	146	858	
ERNST	30	977	5602	
SANDIZELLER	3	29	167	
TUCHSENHAUSER	61	1850	10342	
PIENZENAUER	5	80	471	
TORE	18	221	1194	
MAXELRAINER	5	241	1319	
GUNDELFING	30	1017	5871	
SEIBELSTORFER	3	137	795	
VICEDOM	24	603	3297	
WACHE	1	10	60	
ERSTER MARSCHALL	3	56	308	
ZWEITER MARSCHALL	2	17	107	
VIELE RITTER	2	3	20	
WACHEN	1	3	20	
THORRINGER	20	962	5541	
FRAUEN	1	1	5	
WAFFENKNECHT	1	11	51	
BÜRGERMEISTER	1	13	84	
ZWEITER BÜRGERMEISTER	1	12	57	
OBERRICHTER	11	100	556	
