name	acts	words	chars	
STIMMEN DER SOLDATEN	1	8	37	
ERSTER DIENER	13	471	2521	
DETLEV	25	935	4932	
DRITTER DIENER	9	326	1808	
VIERTER DIENER	3	49	256	
ZWEITER DIENER	10	236	1162	
GRAF STRUENSEE	173	7496	40701	
KÖLLER	72	2194	11796	
PAGE	3	15	78	
DIENER	7	97	548	
RANZAU	87	3366	18435	
EIN KAMMERDIENER	2	10	62	
PFARRER STRUENSEE	31	939	4982	
MATHILDE	106	4119	22169	
GRÄFIN UHLFELD	16	288	1523	
GRÄFIN REEZ	3	31	169	
GRAF BRANDT	16	331	1779	
HAUPTMANN	11	588	3373	
DAMEN DER KÖNIGIN	2	5	18	
KEITH	18	913	4966	
SCHACK	35	812	4341	
JULIANE	66	2632	14028	
GULDBERG	26	514	2777	
KAMMERDIENER	2	50	246	
HAUSHOFMEISTER	6	226	1178	
EIN DIENER	1	6	41	
FÜRST	4	138	796	
MASKE	15	185	1000	
EIN KAMMERHERR	2	15	74	
MEHRERE MASKEN	1	17	78	
OFFICIER	14	246	1360	
ALLE OFFICIERE	0	0	0	
SCHULMEISTER	25	1034	5935	
SVENNE	8	234	1320	
BABE	28	469	2478	
FLYNS	5	160	822	
HOOGE	4	137	772	
ALLE BAUERN	2	7	37	
DIE WIRTHIN	7	88	452	
CONRAD	5	184	1062	
ANDREAS	2	13	68	
JOHANNES	8	127	741	
EMMY	4	69	371	
KERKERMEISTER	3	151	774	
