name	acts	words	chars	
STIMME	1	106	565	
APOLLON	6	387	2062	
DER TOD	6	130	682	
ERSTER MANN	7	53	277	
ZWEITER MANN	4	32	182	
DRITTER MANN	2	11	61	
ERSTE FRAU	7	88	437	
ZWEITE FRAU	7	74	378	
DRITTE FRAU	1	3	15	
SKLAVIN	5	499	2519	
JUNGE FRAU	1	10	57	
ALTER MANN	2	37	186	
MEHRERE	1	5	30	
ANDERE	1	9	42	
ALKESTIS	12	631	3164	
ADMET	54	2195	11154	
DER KLEINE EUMELOS	3	62	317	
EIN EDLER	1	14	80	
DIE ÄLTEREN FRAUEN	1	64	324	
DIE JÜNGEREN FRAUEN	1	53	312	
GESANG DER SKLAVINNEN	0	0	0	
EINER ODER MEHRERE	1	15	74	
HERAKLES	49	1397	7257	
EIN JÜNGLING	4	154	757	
EIN ÄLTERER	1	20	113	
EIN SEHR ALTER MANN	1	21	115	
EIN JUNGER MANN	1	41	196	
IRGENDEINER	2	50	275	
STIMMEN	1	4	16	
DER KÖNIG	2	245	1287	
DER SKLAVE	14	158	853	
PHERES	9	259	1338	
DER ALTE SKLAVE	1	200	1071	
