name	acts	words	chars	
BARONINN	250	3612	19542	
BABETTE	41	514	2809	
BLÜMLEIN	135	3779	21134	
BEDIENTER	5	30	160	
WOLF	64	1825	10267	
NINA	117	1195	5961	
EMY	72	537	2757	
MARIE	106	2545	13927	
WALDBERG	250	2776	14889	
GRÜNAU	133	2148	11599	
FRAU VON LICHTBERG	22	233	1343	
FRÄULEIN GRINZBERG	10	67	347	
FRÄULEIN IMPFEN	36	659	3529	
FRAU VON DORN	26	332	1714	
RÄTHINN SOMMER	15	287	1619	
HERR VON HACKEN	5	28	155	
HERR VON DORN	18	133	768	
BARONINN DÜRRER	27	539	3032	
HERR VON TRAUFBACH	7	25	154	
GERTRAUDE	17	1271	7054	
