name	acts	words	chars	
DIETRICH	68	1812	10065	
HELLDRUNGEN	31	548	3031	
ERICH	14	234	1304	
GRÄFIN	25	374	2093	
LIBORIUS	18	405	2317	
RÜDIGER	5	336	1965	
PROBST	12	599	3457	
GERLIND	96	3576	19160	
EIN KNAPPE	1	10	53	
DIE ALTE STEIMANN	2	44	225	
FRAU HÜFER	7	220	1196	
BLINTE	41	1002	5468	
BAUERN	37	336	1644	
ENGEL	19	473	2583	
THOMÄ	9	214	1197	
SANDER	7	131	731	
REINHARD	3	58	345	
STORCH	4	48	247	
PFEIFER	65	2238	12374	
HANS	43	1276	7018	
MÜNZER	206	9830	53762	
STIMMEN	6	105	570	
LÄRM	2	16	89	
RODER	8	359	2078	
WEIBER	3	45	208	
LUTHER	20	947	5250	
CHOR	1	12	57	
JACOBE	28	1228	6466	
FRAUEN	1	0	0	
EIN KNECHT	3	61	310	
WACHE	2	28	155	
LANDGRAF	7	429	2455	
EINIGE LANDSKNECHTE	1	12	49	
