name	acts	words	chars	
FRAU GENIA	304	5284	29197	
DAS STUBENMÄDCHEN	7	32	154	
FRAU WAHL	102	1706	9579	
ERNA	148	1855	10187	
OTTO VON AIGNER	59	942	5355	
DOKTOR MAUER	164	2506	13920	
FRIEDRICH HOFREITER	417	9635	54050	
PAUL KREINDL	50	946	5364	
STIMMEN VOM TENNISPLATZ	1	1	6	
ADELE	26	432	2318	
STANZIDES	9	217	1270	
HERR NATTER	39	542	3178	
WANZIDES	1	108	603	
FRAU MEINHOLD	50	1283	7016	
ROSENSTOCK	44	522	3042	
ERSTER TOURIST	13	151	831	
ZWEITER TOURIST	3	37	203	
EIN EHEPAAR	0	0	0	
HERR	1	3	18	
DOKTOR MEYER	10	143	777	
SERKNITZ	17	524	3034	
DOKTOR VON AIGNER	66	1182	6632	
DIE SPANIERIN	1	0	0	
ALBERT RHON	54	940	5251	
EINE SEHR SCHÖNE ENGLÄNDERIN	1	8	45	
DER FÜHRER PENN	10	165	907	
GUSTL WAHL	25	646	3777	
FRAU RHON	9	77	411	
EIN BOY	1	0	0	
KINDER VON FRAU NATTER	1	2	6	
KINDERSTIMME IM GARTEN	1	2	14	
