name	acts	words	chars	
EPILOGUS	1	354	1954	
SKARAMUZ	171	3762	20701	
POET	27	473	2703	
SCÄVOLA	41	644	3417	
PIERROT	26	511	2785	
WAGEMANN	16	389	2171	
DIE ZUSCHAUER	18	146	852	
GRÜNHELM	59	1846	10505	
BOTE	2	130	711	
SCHATZMEISTER	22	175	1016	
MELPOMENE	25	288	1569	
DER ANDERE	12	207	1167	
THALIA	26	545	3108	
STALLMEISTER	2	16	97	
APOLLO	41	1155	6301	
MOPSA	5	65	343	
PHYLLIS	6	65	356	
AULICUS	12	221	1200	
MYRTILL	14	377	2069	
DAMON	1	19	99	
MASCHINIST	19	275	1561	
DER WIRT	32	1139	6611	
ANNE	10	173	999	
FREMDER	45	591	3251	
POSTILLION	3	27	131	
BÄCKER	22	336	1848	
BRAUER	30	353	1932	
ERSTER GAST	10	116	640	
ZWEITER GAST	8	94	504	
DRITTER GAST	6	59	340	
VIERTER GAST	18	457	2579	
DIE MUSEN	1	124	781	
EIN LÖWE	1	31	185	
LEOPARD	1	21	115	
TIGER	1	19	87	
DER WOLF	1	14	79	
ADMET	13	696	3842	
ALCESTE	6	151	793	
WACHTEL	6	130	689	
FRAU	6	74	376	
GÄSTE	0	0	0	
ANDRE	2	13	76	
DER FREMDE	2	11	56	
PROLOGUS	3	377	2103	
HOFPOET	3	35	197	
VATER	9	225	1273	
JUNGER MENSCH	10	194	1110	
EMILIE	8	116	607	
FUCHSHEIM	9	89	475	
DICKE FRAU	1	18	113	
STERNHEIM	12	175	949	
NARR	24	438	2416	
LISETTE	20	139	716	
SCHÄFER	3	52	266	
SCHÄFERIN	3	58	306	
LAURA	6	260	1443	
FERNANDO	6	201	1097	
CLAUDIO	2	4	26	
DER VATER	1	21	110	
RÄTE	3	32	195	
LESER	4	143	697	
SCHRIFTSTELLER	2	41	221	
GATTIN	15	249	1432	
RABE	16	538	3059	
WILHELM	5	48	252	
PANTALON	18	332	1856	
EIN SOLDAT	8	55	302	
HARLEKIN	16	198	1120	
SOLDATEN	0	0	0	
NEPTUN	6	123	695	
SEELMANN	4	534	3012	
ERSTER MATROSE	5	40	209	
ZWEITER MATROSE	2	18	102	
GENERAL	3	17	96	
MINISTER	1	2	15	
SCHLACHTGESANG	1	44	233	
