name	acts	words	chars	
ZERNICKOW	44	558	3079	
ANNA	11	60	307	
MARIE	23	305	1616	
NATALIE	38	567	3155	
EMMA	114	2301	12747	
MEHLMEYER	65	1386	7580	
DIE WÄSCHERIN	1	19	91	
WEIGELT	315	6054	32872	
STRESOW	2	11	73	
LIPSKY	2	18	103	
HEMPEL	16	149	822	
MINNA	104	1409	7690	
WILHELM	24	182	960	
LEOPOLD	101	1520	8474	
CLARA	143	1461	7993	
RUDOLF	146	3065	16433	
ERSTER LIEFERANT	1	6	27	
ZWEITER LIEFERANT	1	18	96	
KRÜMEL	19	189	1045	
SCHWALBACH	37	641	3758	
MIELISCH	26	476	3015	
ERSTER KELLNER	6	34	192	
ZWEITER KELLNER	7	63	358	
SCHMIDT	10	60	350	
GOTTLIEB	23	182	961	
CARL	3	21	95	
