name	acts	words	chars	
GURNEMANZ	56	2360	12282	
ZWEITER RITTER	6	71	397	
ZWEITER KNAPPE	5	22	113	
ERSTER KNAPPE	4	26	121	
ERSTER RITTER	2	25	124	
KUNDRY	35	1121	5785	
AMFORTAS	10	626	3231	
DRITTER KNAPPE	9	100	465	
VIERTER KNAPPE	6	36	192	
RITTER	4	78	398	
KNAPPEN	0	0	0	
PARSIFAL	51	1330	6958	
DIE GRALSRITTER	1	77	394	
TITUREL	4	64	322	
STIMMEN AUS DER HÖHE	1	12	66	
JÜNGLINGE	2	32	164	
KNABEN	4	68	364	
EINE ALTSTIMME	1	8	41	
MITTLERE HÖHE	1	3	17	
AUS DER HÖCHSTEN HÖHE	1	3	17	
KLINGSOR	15	565	2922	
DIE MÄDCHEN	14	300	1533	
DIE GESCHMÜCKTEN MÄDCHEN	1	11	56	
DIE ANDERN MÄDCHEN	2	14	73	
ERSTES MÄDCHEN DER ZWEITEN GRUPPE	4	18	87	
ERSTES MÄDCHEN DER ERSTEN GRUPPE	4	26	125	
ZWEITES MÄDCHEN DER ERSTEN GRUPPE	3	21	92	
ZWEITES MÄDCHEN DER ZWEITEN GRUPPE	2	12	55	
DRITTES MÄDCHEN DER ERSTEN GRUPPE	1	2	12	
ERSTER ZUG	4	62	328	
ZWEITER ZUG	4	61	311	
