name	acts	words	chars	
NERO	221	8105	48021	
LUKANUS	2	65	289	
ERSTES MÄDCHEN	5	127	699	
ZWEITES MÄDCHEN	4	29	155	
ANDERE MÄDCHEN	1	3	15	
DRITTES MÄDCHEN	3	15	88	
ALLE MÄDCHEN	1	3	29	
MONTANUS	1	9	55	
TERPNUS	2	3	11	
AKTE	17	583	3445	
ZENTURJO	19	454	2698	
SENEKA	11	164	1011	
BURRUS	14	1390	8777	
TIGELLINUS	67	3621	22693	
ERSTER CHRISTJANUS	3	55	309	
ERSTER LEICHENTRÄGER	3	44	270	
ZWEITE CHRISTJANA	9	85	492	
ERSTE CHRISTJANA	7	114	623	
DRITTE CHRISTJANA	6	135	821	
ZWEITER LEICHENTRÄGER	3	52	292	
DRITTER LEICHENTRÄGER	5	140	752	
EINER VOM DRITTEN TRANSPORT	1	7	41	
EIN MÄDCHEN	3	152	868	
ERSTER BOTE	1	12	64	
ZWEITER BOTE	3	94	518	
EUELPIUS	4	225	1176	
ZWEITER CHRISTJANUS	1	37	201	
KURIO	18	250	1738	
BEWAFNETER	5	91	613	
DIE TRUPPEN	3	94	447	
EPAPHRODITUS	9	295	1717	
NYMPHIDIUS	6	108	643	
KOSROËS	4	123	782	
ERSTER BEGLEITER	4	33	228	
ZWEITER BEGLEITER	3	47	254	
FLAVUS	2	103	629	
STIMME	4	10	136	
SOLDAT	0	0	0	
CHARMIS	51	593	3139	
DORYPHOROS	4	981	5826	
AUGUSTJANI	3	45	232	
ERSTER RÖMER	3	157	968	
ZWEITER RÖMER	3	83	449	
DRITTER RÖMER	3	112	682	
ERSTER MANN	1	47	286	
ERSTER JUDE	8	69	394	
ZWEITER JUDE	7	162	785	
HASTA	20	669	4213	
SPÄHER	2	110	861	
SPORUS	9	123	685	
PHAON	2	45	265	
PRÄTOR	5	112	659	
