name	acts	words	chars	
CHOR DER MÄDCHEN	3	64	360	
CHOR DER JÜNGLINGE	3	24	149	
RUPERT	134	2045	10607	
OTTOKAR	227	4369	22381	
EUSTACHE	86	1858	9496	
JERONIMUS	125	2191	11354	
KIRCHENVOGT	20	400	2167	
EIN DIENER	8	86	480	
JOHANN	65	1403	7236	
SYLVIUS	38	410	2159	
AGNES	177	2258	11557	
GERTRUDE	72	1149	6071	
SYLVESTER	126	3007	15760	
GÄRTNER	6	78	438	
EIN KNAPPE	1	7	33	
ALDÖBERN	14	269	1479	
THEISTINER	18	347	1874	
SANTING	39	504	2520	
DER WANDERER	5	98	522	
ZWEITER WANDERER	2	18	98	
DIE KAMMERZOFE	8	125	681	
BARNABE	50	807	4151	
URSULA	16	189	980	
FINTENRING	13	224	1156	
EIN RITTER	1	21	124	
