label	value
1730 (N=5)	1.51
1740 (N=18)	1.23
1750 (N=10)	1.38
1760 (N=15)	1.26
1770 (N=36)	1.47
1780 (N=20)	1.49
1790 (N=20)	1.55
1800 (N=23)	1.56
1810 (N=24)	1.68
1820 (N=31)	1.66
1830 (N=31)	1.72
1840 (N=43)	1.5
1850 (N=16)	1.46
1860 (N=11)	1.49
1870 (N=14)	1.58
1880 (N=14)	1.54
1890 (N=36)	1.31
1900 (N=49)	1.22
1910 (N=33)	1.38
1920 (N=16)	1.51
