label	value
1730 (N=5)	5.38
1740 (N=18)	5.5
1750 (N=10)	4.92
1760 (N=15)	6.45
1770 (N=36)	5.46
1780 (N=20)	7.83
1790 (N=20)	9.03
1800 (N=23)	9.25
1810 (N=24)	11.23
1820 (N=31)	10.16
1830 (N=31)	10.93
1840 (N=43)	9
1850 (N=16)	10.35
1860 (N=11)	9.3
1870 (N=14)	9.74
1880 (N=14)	11.18
1890 (N=36)	9.69
1900 (N=49)	7.59
1910 (N=33)	11
1920 (N=16)	13.4
